lcl|NC_088853.1_cds_XP_011431838.3_1	1017
lcl|NC_088853.1_cds_XP_065936687.1_2	2502
lcl|NC_088853.1_cds_XP_065936695.1_3	405
lcl|NC_088853.1_cds_XP_065934724.1_4	1200
lcl|NC_088853.1_cds_XP_011431839.3_5	1011
lcl|NC_088853.1_cds_XP_065936700.1_6	1209
lcl|NC_088853.1_cds_XP_034319756.2_7	1188
lcl|NC_088853.1_cds_XP_065936703.1_8	936
lcl|NC_088853.1_cds_XP_065936710.1_9	1131
lcl|NC_088853.1_cds_XP_065934741.1_10	879
lcl|NC_088853.1_cds_XP_065932193.1_11	1356
lcl|NC_088853.1_cds_XP_065932091.1_12	2232
lcl|NC_088853.1_cds_XP_065932097.1_13	2211
lcl|NC_088853.1_cds_XP_065932080.1_14	2442
lcl|NC_088853.1_cds_XP_065932087.1_15	2442
lcl|NC_088853.1_cds_XP_065932173.1_16	1803
lcl|NC_088853.1_cds_XP_065932174.1_17	1803
lcl|NC_088853.1_cds_XP_065932159.1_18	1824
lcl|NC_088853.1_cds_XP_065932161.1_19	1824
lcl|NC_088853.1_cds_XP_065932165.1_20	1824
lcl|NC_088853.1_cds_XP_065932169.1_21	1824
lcl|NC_088853.1_cds_XP_065932099.1_22	1890
lcl|NC_088853.1_cds_XP_065932102.1_23	1869
lcl|NC_088853.1_cds_XP_065932067.1_24	2490
lcl|NC_088853.1_cds_XP_065932070.1_25	2490
lcl|NC_088853.1_cds_XP_065932056.1_26	2490
lcl|NC_088853.1_cds_XP_065932071.1_27	2070
lcl|NC_088853.1_cds_XP_065934744.1_28	1938
lcl|NC_088853.1_cds_XP_065932120.1_29	1344
lcl|NC_088853.1_cds_XP_065932124.1_30	1344
lcl|NC_088853.1_cds_XP_065932126.1_31	1344
lcl|NC_088853.1_cds_XP_065934750.1_32	2025
lcl|NC_088853.1_cds_XP_065932207.1_33	399
lcl|NC_088853.1_cds_XP_065936722.1_34	1131
lcl|NC_088853.1_cds_XP_065936719.1_35	1131
lcl|NC_088853.1_cds_XP_065936729.1_36	1131
lcl|NC_088853.1_cds_XP_065932116.1_37	1869
lcl|NC_088853.1_cds_XP_065932115.1_38	1791
lcl|NC_088853.1_cds_XP_065932107.1_39	1869
lcl|NC_088853.1_cds_XP_065932111.1_40	1869
lcl|NC_088853.1_cds_XP_065936732.1_41	2181
lcl|NC_088853.1_cds_XP_065932036.1_42	2490
lcl|NC_088853.1_cds_XP_065932045.1_43	2490
lcl|NC_088853.1_cds_XP_065932055.1_44	2490
lcl|NC_088853.1_cds_XP_065934755.1_45	795
lcl|NC_088853.1_cds_XP_034319741.2_46	336
lcl|NC_088853.1_cds_XP_065932131.1_47	1863
lcl|NC_088853.1_cds_XP_065932135.1_48	1863
lcl|NC_088853.1_cds_XP_065932137.1_49	1863
lcl|NC_088853.1_cds_XP_065932138.1_50	1863
lcl|NC_088853.1_cds_XP_065932147.1_51	1785
lcl|NC_088853.1_cds_XP_065932153.1_52	1785
lcl|NC_088853.1_cds_XP_065932204.1_53	561
lcl|NC_088853.1_cds_XP_065932200.1_54	582
lcl|NC_088853.1_cds_XP_065933071.1_55	720
lcl|NC_088853.1_cds_XP_065933066.1_56	750
lcl|NC_088853.1_cds_XP_065934777.1_57	771
lcl|NC_088853.1_cds_XP_065932177.1_58	1773
lcl|NC_088853.1_cds_XP_065932179.1_59	1773
lcl|NC_088853.1_cds_XP_065932181.1_60	1773
lcl|NC_088853.1_cds_XP_065932185.1_61	1773
lcl|NC_088853.1_cds_XP_065932187.1_62	1773
lcl|NC_088853.1_cds_XP_065931981.1_63	7431
lcl|NC_088853.1_cds_XP_065931992.1_64	7413
lcl|NC_088853.1_cds_XP_065931995.1_65	7395
lcl|NC_088853.1_cds_XP_065932007.1_66	7374
lcl|NC_088853.1_cds_XP_065932017.1_67	7356
lcl|NC_088853.1_cds_XP_065931989.1_68	7425
lcl|NC_088853.1_cds_XP_065931991.1_69	7419
lcl|NC_088853.1_cds_XP_065931994.1_70	7401
lcl|NC_088853.1_cds_XP_065932031.1_71	7326
lcl|NC_088853.1_cds_XP_065932000.1_72	7392
lcl|NC_088853.1_cds_XP_065931985.1_73	7431
lcl|NC_088853.1_cds_XP_065932025.1_74	6510
lcl|NC_088853.1_cds_XP_034320429.2_75	954
lcl|NC_088853.1_cds_XP_065932216.1_76	1977
lcl|NC_088853.1_cds_XP_065932224.1_77	1977
lcl|NC_088853.1_cds_XP_034316824.2_78	1071
lcl|NC_088853.1_cds_XP_065932249.1_79	1749
lcl|NC_088853.1_cds_XP_065932245.1_80	1764
lcl|NC_088853.1_cds_XP_065936753.1_81	4458
lcl|NC_088853.1_cds_XP_065934795.1_82	1077
lcl|NC_088853.1_cds_XP_065932478.1_83	669
lcl|NC_088853.1_cds_XP_065932475.1_84	693
lcl|NC_088853.1_cds_XP_065932482.1_85	621
lcl|NC_088853.1_cds_XP_065932472.1_86	834
lcl|NC_088853.1_cds_XP_065936770.1_87	2091
lcl|NC_088853.1_cds_XP_065936774.1_88	933
lcl|NC_088853.1_cds_XP_065932388.1_89	1824
lcl|NC_088853.1_cds_XP_065932393.1_90	1746
lcl|NC_088853.1_cds_XP_065933081.1_91	489
lcl|NC_088853.1_cds_XP_065936775.1_92	1227
lcl|NC_088853.1_cds_XP_065936776.1_93	708
lcl|NC_088853.1_cds_XP_065932262.1_94	4011
lcl|NC_088853.1_cds_XP_065932364.1_95	1866
lcl|NC_088853.1_cds_XP_065932365.1_96	1833
lcl|NC_088853.1_cds_XP_065932439.1_97	1194
lcl|NC_088853.1_cds_XP_065934832.1_98	729
lcl|NC_088853.1_cds_XP_065932404.1_99	1785
lcl|NC_088853.1_cds_XP_065932407.1_100	1707
lcl|NC_088853.1_cds_XP_065932533.1_101	375
