"gene","symmetric_difference","branch_score_difference","path_difference","quadratic_path_difference"
"A0A096MJN4",12,1.77915430180992,15.4919333848297,7.33162189098274
"A0A0A6YY25",0,0.0478107226025702,0,0.203785966013944
"A0A0B4K7J2",4,0.740151962080217,12,7.03773511878949
"A0A0G2JEB6",8,0.995740884435945,16.9705627484771,4.72953943814667
"A0A0G2JZ79",4,0.717194577021753,10.6301458127346,7.46746743089208
"A0A0G2K344",6,0.483685814938696,13.2664991614216,4.81845720170922
"A0A178VEK7",8,0.568394646021356,18.2482875908947,6.50771908065805
"A0A182C2Z2",20,3.47776498573022,23.259406699226,19.9228308967004
"A0A1B0GUW6",10,1.63198321877472,12.0830459735946,5.72158627085729
"A0A1L8GXY4",4,0.455107223318119,10.9544511501033,3.02069932299622
"A0A1L8HBI7",10,1.57241575979482,13.3041346956501,9.88240593742756
"A0A1L8HJK9",10,1.71594606145665,13.3041346956501,8.87574272270373
"A0A1L8HTT5",10,1.21472871980677,15.0332963783729,7.02236938874834
"A0A2I0BVG8",20,2.30245965445933,27.0554985169374,24.9204259394444
"A0A494C1R9",14,3.25182151912499,24.1039415863879,12.186636301271
"A0A5F8MPU3",4,0.724175167514554,4.47213595499958,2.48164800023306
"A0AVF1",8,0.392141162720457,17.464249196573,2.30626951294851
"A0JM98",12,1.77767575478409,15.3622914957372,12.1572634053115
"A0JPK3",22,2.54232215214063,28.7923600977759,11.4724721132586
"A0M8T3",4,0.751772033772339,10.4403065089106,7.23069750789569
"A0MLS5",16,2.41352008434352,20.3224014329016,18.956714950715
"A0P8Z4",14,2.8553923181882,32.2645316098034,23.7220701330129
"A1A5Q4",10,0.312448258627051,19.1833260932509,3.00785178596371
"A1L1C2",10,1.5438021434998,17.464249196573,11.2228161343383
"A1L1H3",4,0.815486679429014,10.0995049383621,8.00979937577238
"A1L1K7",2,0.561245238534703,5.65685424949238,5.47227176096735
"A1X154",4,0.749432407611046,10.4403065089106,7.40276078735175
"A1YEV9",16,1.57121210227105,20,5.93041596586061
"A1YFW6",18,1.55058235139178,17.6918060129541,5.71976660809174
"A1YG26",8,1.51515814105718,14.422205101856,5.83878356729119
"A1Z6E0",12,6.47236669535117,21.1896201004171,26.9418105299376
"A1Z7Z9",4,0.316803960088845,13.7477270848675,2.36849960707198
"A1Z8D0",8,0.527756772723477,18.9736659610103,4.20325995988646
"A1Z8P9",4,0.546400133587935,9.48683298050514,6.74645463522034
"A1Z9E2",2,0.524364954002002,9,5.41385498753084
"A1Z9L3",10,9.25448187332199,16.3707055437449,50.4104324328712
"A1Z9X0",8,10.0447485879963,16.2480768092719,40.991438365365
"A1ZAC4",0,0.03682360500022,0,0.0477342974467202
"A1ZB91",4,0.308198467751255,12.6885775404495,2.29031289125794
"A2A6C4",2,0.77169193680536,8.77496438739212,7.00516193932143
"A2A8L1",8,0.444300807142277,16.7630546142402,3.00526586045964
"A2AAE1",0,0.578076191141557,0,6.06749749859664
"A2AG06",6,0.827881132742142,14.142135623731,8.82142156651977
"A2AKX3",16,0.980942947083125,22.7156333832011,8.31423185812418
"A2AL36",10,3.55152122135199,17.6635217326557,15.6877221797735
"A2AM05",0,0.504934991035459,0,5.50492840491548
"A2APF3",10,2.37737104837967,19.1049731745428,11.6113277827627
"A2ARI4",4,0.901264177363906,10.4403065089106,10.6894319321285
"A2ARP9",2,2.21028453567425,2.44948974278318,4.37080816835433
"A2ARZ3",8,1.26096523369805,14.0356688476182,13.2778939636301
"A2AU37",8,0.671334424563137,16.9705627484771,6.17528827951154
"A2AU72",2,0.326152165718038,5.65685424949238,1.60400123827089
"A2AV36",4,0.485908866604324,9.38083151964686,4.30186591558158
"A2BDR7",8,0.587267764788064,16.1245154965971,4.33023786193443
"A2BF66",2,0.364840165170505,8.77496438739212,3.50090242078126
"A2CEI6",6,0.325176977739172,14.8660687473185,2.49249917972022
"A2CG63",10,3.93907363622557,22.1810730128188,17.527287408767
"A2RUB1",6,0.803398202175801,14.142135623731,8.64420689715975
"A2RV06",10,0.312448258627051,19.1833260932509,3.00785178596371
"A2T6W2",18,1.55389687526083,17.6918060129541,5.74101676041509
"A2T712",8,1.51515814105718,14.422205101856,5.83878356729119
"A2T7L7",16,1.56633489325257,20,5.90438829325953
"A3KGV1",8,0.540418981858881,16,4.63585237035891
"A3KNW0",8,0.569130284936519,14.6969384566991,7.59513019233829
"A3KPW9",4,0.774848626541334,10.9544511501033,6.61686943305066
"A3KQH2",8,0.442594158312835,14.422205101856,2.70106378066689
"A4D1T9",18,1.51725988711135,32.9241552663087,11.9159699863854
"A4D263",6,1.13076078637092,13.2664991614216,5.84531296615214
"A4D7T3",4,0.749432407611046,10.4403065089106,7.40276078735175
"A4IFD8",10,9.53253236606671,17.464249196573,41.1962258940775
"A4IH17",4,0.691962168022358,10.9544511501033,5.7504741704066
"A4PES0",14,7.62856623570283,18.4661853126194,32.3573252010802
"A4UTQ0",8,0.70186524353142,16.7630546142402,7.70978362479229
"A5D796",4,0.627589761098454,10.9544511501033,4.6236342850347
"A5D7Q3",6,0.174705719755495,15.52417469626,1.00307836565916
"A5D8V7",8,0.461360259002442,15.7797338380595,2.27140142551965
"A5D8W1",6,0.601155000064723,14.8660687473185,2.74737047072131
"A5D9M6",4,0.714453461416431,10.9544511501033,6.0790785925389
"A5PK71",16,10.0758162748992,22.8035085019828,56.1182190134127
"A6N7Y9",6,0.416177377962779,15.7797338380595,3.04067754157569
"A6NAF9",12,0.945896755103626,16.8522995463527,9.57597658498496
"A6NDE4",10,0.730167733326927,18.8414436814168,6.48080583738463
