lcl|NC_068355.1_cds_XP_052260731.1_1	915
lcl|NC_068355.1_cds_XP_052265819.1_2	1338
lcl|NC_068355.1_cds_XP_052265829.1_3	420
lcl|NC_068355.1_cds_XP_052265828.1_4	1200
lcl|NC_068355.1_cds_XP_052260732.1_5	555
lcl|NC_068355.1_cds_XP_052260733.1_6	858
lcl|NC_068355.1_cds_XP_052261259.1_7	723
lcl|NC_068355.1_cds_XP_052260734.1_8	1200
lcl|NC_068355.1_cds_XP_052260735.1_9	1146
lcl|NC_068355.1_cds_XP_052260736.1_10	2139
lcl|NC_068355.1_cds_XP_052261260.1_11	1200
lcl|NC_068355.1_cds_XP_052265833.1_12	1296
lcl|NC_068355.1_cds_XP_052266387.1_13	951
lcl|NC_068355.1_cds_XP_052265868.1_14	4626
lcl|NC_068355.1_cds_XP_052266364.1_15	801
lcl|NC_068355.1_cds_XP_052266373.1_16	801
lcl|NC_068355.1_cds_XP_052266416.1_17	381
lcl|NC_068355.1_cds_XP_052265845.1_18	4791
lcl|NC_068355.1_cds_XP_052265860.1_19	4350
lcl|NC_068355.1_cds_XP_052266174.1_20	1683
lcl|NC_068355.1_cds_XP_052266168.1_21	1737
lcl|NC_068355.1_cds_XP_052266225.1_22	1443
lcl|NC_068355.1_cds_XP_052266160.1_23	1746
lcl|NC_068355.1_cds_XP_052266232.1_24	1443
lcl|NC_068355.1_cds_XP_052266242.1_25	1422
lcl|NC_068355.1_cds_XP_052266219.1_26	1443
lcl|NC_068355.1_cds_XP_052266200.1_27	1572
lcl|NC_068355.1_cds_XP_052266191.1_28	1572
lcl|NC_068355.1_cds_XP_052266150.1_29	1758
lcl|NC_068355.1_cds_XP_052266182.1_30	1593
lcl|NC_068355.1_cds_XP_052266176.1_31	1593
lcl|NC_068355.1_cds_XP_052266142.1_32	1779
lcl|NC_068355.1_cds_XP_052266210.1_33	1539
lcl|NC_068355.1_cds_XP_052266325.1_34	1506
lcl|NC_068355.1_cds_XP_052265879.1_35	3096
