sp	A0A096MJN4	SEPT4_RAT	lcl	NW_026889779.1_cds_XP_061189644.1_22152	59.557	361	136	3	97	456	148	1203	2.64e-155	447
sp	A0A0B4K7J2	RBP2_DROME	lcl	NW_026889806.1_cds_XP_061165275.1_33168	39.146	281	150	5	1537	1802	2683	3507	1.00e-42	174
sp	A0A0G2JZ79	SIR1_RAT	lcl	NW_026889759.1_cds_XP_061175325.1_9812	51.111	495	202	8	1	465	334	1788	1.08e-166	492
sp	A0A0G2K344	PK3CA_RAT	lcl	NW_026889803.1_cds_XP_061163079.1_30323	54.229	1064	465	11	5	1063	7	3147	0.0	1172
sp	A0A178VEK7	DUO1_ARATH	lcl	NW_026889772.1_cds_XP_061182884.1_16596	48.039	102	51	2	13	114	313	612	1.15e-22	98.6
sp	A0A2I0BVG8	CDPK1_PLAFO	lcl	NW_026889760.1_cds_XP_061175887.1_10244	39.365	315	168	7	48	359	46	930	1.88e-65	216
sp	A0AVF1	IFT56_HUMAN	lcl	NW_026889759.1_cds_XP_061175421.1_9940	79.385	553	114	0	2	554	6094	7752	0.0	930
sp	A0MLS5	BMAL1_HORSE	lcl	NW_026889763.1_cds_XP_061177934.1_12058	47.634	655	264	13	38	626	64	1989	0.0	548
sp	A1Z6E0	GUS_DROME	lcl	NW_026889803.1_cds_XP_061197714.1_31600	69.892	279	78	4	1	277	7	831	2.56e-146	411
sp	A1Z7Z9	CP131_DROME	lcl	NW_026889751.1_cds_XP_061197331.1_2648	25.301	581	393	7	583	1133	1762	3471	1.34e-38	157
sp	A1Z8D0	PWP1_DROME	lcl	NW_026889761.1_cds_XP_061176441.1_10729	37.691	459	265	6	11	454	1	1359	2.04e-90	285
sp	A1Z8P9	TPR_DROME	lcl	NW_026889809.1_cds_XP_061166094.1_33897	26.697	1768	1051	47	107	1700	346	5436	3.44e-91	333
sp	A1Z9E2	LIN54_DROME	lcl	NW_026889751.1_cds_XP_061196269.1_2460	52.660	188	71	3	738	907	1621	2184	5.32e-48	184
sp	A1Z9L3	DHX8_DROME	lcl	NW_026889777.1_cds_XP_061186085.1_19072	78.549	965	197	2	281	1240	739	3618	0.0	1510
sp	A1Z9X0	APKC_DROME	lcl	NW_026889803.1_cds_XP_061162499.1_28569	67.627	590	179	4	29	606	28	1797	0.0	820
sp	A2A6C4	SPP2C_MOUSE	lcl	NW_026889830.1_cds_XP_061167880.1_35325	35.352	512	286	12	40	540	118	1551	8.27e-78	259
sp	A2A8L1	CHD5_MOUSE	lcl	NW_026889803.1_cds_XP_061163043.1_30884	64.715	1230	334	13	336	1529	1036	4533	0.0	1514
sp	A2AAE1	BLTP1_MOUSE	lcl	NW_026889774.1_cds_XP_061183680.1_17257	40.553	1122	562	17	24	1119	94	3222	0.0	877
sp	A2AG06	MEIOC_MOUSE	lcl	NW_026889750.1_cds_XP_061181207.1_1486	61.963	163	62	0	757	919	1771	2259	1.54e-56	210
sp	A2AKX3	SETX_MOUSE	lcl	NW_026889758.1_cds_XP_061174853.1_7326	30.818	795	437	27	1713	2439	6097	8346	2.91e-78	291
sp	A2AL36	CNTRL_MOUSE	lcl	NW_026889774.1_cds_XP_061184132.1_17925	34.892	877	509	12	78	928	235	2757	6.59e-122	432
sp	A2AM05	CNTLN_MOUSE	lcl	NW_026889758.1_cds_XP_061172760.1_7826	35.616	584	329	11	119	659	79	1818	9.72e-62	233
sp	A2APF3	CTCFL_MOUSE	lcl	NW_026889803.1_cds_XP_061196868.1_29582	54.448	281	126	2	257	537	988	1824	6.50e-101	328
sp	A2ARI4	LGR4_MOUSE	lcl	NW_026889769.1_cds_XP_061181393.1_15066	37.637	457	261	1	41	473	112	1482	2.91e-77	276
sp	A2ARP9	CTSR2_MOUSE	lcl	NW_026889809.1_cds_XP_061166104.1_33822	26.394	269	178	7	102	361	4327	5100	7.97e-11	66.2
sp	A2AU37	RD21L_MOUSE	lcl	NW_026889763.1_cds_XP_061178149.1_12443	57.843	204	73	4	1	197	1	594	6.13e-69	235
sp	A2AU72	ARMC3_MOUSE	lcl	NW_026889806.1_cds_XP_061165176.1_32959	44.545	660	311	4	15	619	43	2022	1.33e-149	464
sp	A2CEI6	PIWL2_DANRE	lcl	NW_026889802.1_cds_XP_061196096.1_28429	46.543	810	411	11	245	1046	430	2817	0.0	791
sp	A2CG63	ARI4B_MOUSE	lcl	NW_026889758.1_cds_XP_061172130.1_6793	46.192	407	188	9	3	398	4	1164	3.87e-83	300
sp	A2RUB1	MEIOC_HUMAN	lcl	NW_026889750.1_cds_XP_061181207.1_1486	61.350	163	63	0	747	909	1771	2259	4.29e-55	206
sp	A3KGV1	ODFP2_MOUSE	lcl	NW_026889805.1_cds_XP_061163913.1_32609	42.092	784	432	8	58	828	169	2493	0.0	543
sp	A3KPW9	BAG6_DANRE	lcl	NW_026889805.1_cds_XP_061164391.1_32139	30.720	472	283	11	711	1159	2635	3987	2.34e-57	218
sp	A3KQH2	DRC9_DANRE	lcl	NW_026889750.1_cds_XP_061170861.1_2225	35.180	361	197	4	1	324	4	1086	9.25e-61	200
