qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
sp|A0A096MJN4|SEPT4_RAT	lcl|NW_026782271.1_cds_XP_060074630.1_14264	63.025	357	123	3	100	456	298	1341	1.89e-162	466
sp|A0A0B4K7J2|RBP2_DROME	lcl|NW_026781993.1_cds_XP_060064847.1_5394	38.912	239	118	7	1535	1761	6649	7317	2.38e-34	146
sp|A0A0G2JZ79|SIR1_RAT	lcl|NW_026782170.1_cds_XP_060071353.1_11309	55.875	417	153	7	1	414	73	1239	7.26e-157	466
sp|A0A0G2K344|PK3CA_RAT	lcl|NW_026781947.1_cds_XP_060062464.1_3287	55.137	1061	456	8	5	1063	7	3135	0.0	1216
sp|A0A178VEK7|DUO1_ARATH	lcl|NW_026782147.1_cds_XP_060070785.1_10793	49.020	102	50	2	13	114	322	621	1.97e-25	106
sp|A0A2I0BVG8|CDPK1_PLAFO	lcl|NW_026782173.1_cds_XP_060071442.1_11436	34.043	376	227	6	43	410	1	1089	5.34e-63	214
sp|A0A5F8MPU3|CTSRT_MOUSE	lcl|NW_026781993.1_cds_XP_060064843.1_5383	34.538	249	98	11	842	1067	632	12	4.45e-16	80.1
sp|A0AVF1|IFT56_HUMAN	lcl|NW_026781965.1_cds_XP_060063436.1_4137	79.061	554	116	0	1	554	1	1662	0.0	924
sp|A0MLS5|BMAL1_HORSE	lcl|NW_026781865.1_cds_XP_060082695.1_206	52.277	593	239	12	74	626	172	1938	0.0	575
sp|A1Z6E0|GUS_DROME	lcl|NW_026782034.1_cds_XP_060066459.1_6894	71.326	279	75	3	1	277	7	834	2.93e-151	424
sp|A1Z7Z9|CP131_DROME	lcl|NW_026782351.1_cds_XP_060076658.1_16099	26.425	579	385	11	583	1131	1693	3396	1.15e-38	157
sp|A1Z8D0|PWP1_DROME	lcl|NW_026782334.1_cds_XP_060076230.1_15707	40.367	327	186	4	130	453	424	1386	3.28e-87	276
sp|A1Z8P9|TPR_DROME	lcl|NW_026781906.1_cds_XP_060076894.1_1634	27.882	1284	836	21	126	1373	394	4083	6.01e-87	318
sp|A1Z9E2|LIN54_DROME	lcl|NW_026782795.1_cds_XP_060083666.1_22348	46.667	225	92	5	701	907	1555	2199	3.94e-46	178
sp|A1Z9L3|DHX8_DROME	lcl|NW_026781880.1_cds_XP_060065361.1_575	78.135	965	200	3	281	1240	823	3699	0.0	1513
sp|A1Z9X0|APKC_DROME	lcl|NW_026781904.1_cds_XP_060075915.1_1533	67.905	592	172	3	29	606	28	1791	0.0	822
sp|A2A6C4|SPP2C_MOUSE	lcl|NW_026782594.1_cds_XP_060081190.1_20136	33.004	506	278	11	38	537	133	1485	7.71e-58	205
sp|A2A8L1|CHD5_MOUSE	lcl|NW_026782241.1_cds_XP_060073727.1_13486	65.949	1207	340	13	336	1531	1042	4482	0.0	1497
sp|A2AAE1|BLTP1_MOUSE	lcl|NW_026782147.1_cds_XP_060070791.1_10804	41.869	1113	585	17	25	1119	76	3282	0.0	897
sp|A2AG06|MEIOC_MOUSE	lcl|NW_026782284.1_cds_XP_060074964.1_14557	56.383	188	79	2	733	919	2191	2748	4.01e-60	222
sp|A2AKX3|SETX_MOUSE	lcl|NW_026782549.1_cds_XP_060080468.1_19481	31.535	593	346	17	1856	2423	2794	4467	9.06e-74	274
sp|A2AL36|CNTRL_MOUSE	lcl|NW_026782148.1_cds_XP_060070795.1_10819	36.554	859	520	11	79	925	259	2796	2.90e-129	456
sp|A2AM05|CNTLN_MOUSE	lcl|NW_026782097.1_cds_XP_060068889.1_9059	33.962	583	342	10	119	663	82	1815	2.16e-59	225
sp|A2APF3|CTCFL_MOUSE	lcl|NW_026782299.1_cds_XP_060075338.1_14833	51.952	333	153	3	244	571	1159	2151	2.15e-113	362
sp|A2ARI4|LGR4_MOUSE	lcl|NW_026782573.1_cds_XP_060080836.1_19825	33.253	830	502	6	40	819	163	2646	9.25e-126	412
