qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
sp|A0A096MJN4|SEPT4_RAT	lcl|NW_026933671.1_cds_XP_062577009.1_38534	55.906	381	140	5	93	456	862	1971	3.02e-145	431
sp|A0A0B4K7J2|RBP2_DROME	lcl|NW_026940813.1_cds_XP_062594997.1_54764	38.676	287	143	7	1537	1802	3808	4632	1.26e-42	174
sp|A0A0G2JZ79|SIR1_RAT	lcl|NW_026938805.1_cds_XP_062589774.1_50055	51.619	494	203	9	1	465	334	1794	3.28e-165	489
sp|A0A0G2K344|PK3CA_RAT	lcl|NW_026935991.1_cds_XP_062582711.1_43663	54.323	1064	464	11	5	1063	7	3147	0.0	1171
sp|A0A178VEK7|DUO1_ARATH	lcl|NW_026938421.1_cds_XP_062588541.1_48941	48.039	102	51	2	13	114	313	612	1.10e-22	99.0
sp|A0A2I0BVG8|CDPK1_PLAFO	lcl|NW_026930861.1_cds_XP_062568089.1_30431	39.048	315	169	6	48	359	46	930	4.35e-65	215
sp|A0AVF1|IFT56_HUMAN	lcl|NW_026918875.1_cds_XP_062612079.1_1832	79.385	553	114	0	2	554	6106	7764	0.0	926
sp|A0MLS5|BMAL1_HORSE	lcl|NW_026934212.1_cds_XP_062578250.1_39661	48.936	658	255	16	36	626	58	1989	0.0	555
sp|A1Z6E0|GUS_DROME	lcl|NW_026928156.1_cds_XP_062614837.1_21743	69.892	279	78	4	1	277	7	831	3.60e-146	411
sp|A1Z7Z9|CP131_DROME	lcl|NW_026936265.1_cds_XP_062583414.1_44311	24.096	581	388	8	583	1133	1756	3429	4.33e-32	137
sp|A1Z8D0|PWP1_DROME	lcl|NW_026940875.1_cds_XP_062595232.1_54984	41.411	326	184	4	130	454	400	1359	3.52e-86	274
sp|A1Z8P9|TPR_DROME	lcl|NW_026926479.1_cds_XP_062610005.1_17398	27.460	1311	859	24	107	1371	346	4140	2.82e-84	311
sp|A1Z9E2|LIN54_DROME	lcl|NW_026936019.1_cds_XP_062582837.1_43788	53.191	188	70	3	738	907	1621	2184	2.45e-48	186
sp|A1Z9L3|DHX8_DROME	lcl|NW_026928551.1_cds_XP_062616214.1_22969	59.690	645	258	2	572	1214	1105	3039	0.0	780
sp|A1Z9X0|APKC_DROME	lcl|NW_026938995.1_cds_XP_062590447.1_50660	79.464	224	46	0	383	606	922	1593	1.16e-128	389
sp|A2A6C4|SPP2C_MOUSE	lcl|NW_026921394.1_cds_XP_062598448.1_6978	50.249	201	97	2	339	537	1	600	3.65e-47	168
sp|A2A8L1|CHD5_MOUSE	lcl|NW_026920935.1_cds_XP_062597362.1_5974	64.553	1230	336	13	336	1529	217	3714	0.0	1516
sp|A2AAE1|BLTP1_MOUSE	lcl|NW_026937295.1_cds_XP_062586142.1_46779	42.070	1053	468	30	3961	4992	9940	12735	0.0	697
sp|A2AG06|MEIOC_MOUSE	lcl|NW_026931011.1_cds_XP_062568873.1_31141	62.577	163	61	0	757	919	1783	2271	8.03e-57	212
sp|A2AKX3|SETX_MOUSE	lcl|NW_026920828.1_cds_XP_062596972.1_5638	31.117	797	430	28	1714	2439	5668	7914	1.01e-75	283
sp|A2AL36|CNTRL_MOUSE	lcl|NW_026937285.1_cds_XP_062586051.1_46682	35.151	862	520	10	78	928	235	2736	2.66e-121	431
sp|A2AM05|CNTLN_MOUSE	lcl|NW_026940997.1_cds_XP_062595511.1_55256	35.034	588	327	11	119	659	79	1818	1.50e-60	229
sp|A2APF3|CTCFL_MOUSE	lcl|NW_026934500.1_cds_XP_062578958.1_40292	54.448	281	126	2	257	537	985	1821	1.65e-100	327
sp|A2ARI4|LGR4_MOUSE	lcl|NW_026937256.1_cds_XP_062585950.1_46607	31.132	848	514	7	41	819	112	2652	7.12e-102	347
sp|A2AU37|RD21L_MOUSE	lcl|NW_026932690.1_cds_XP_062573942.1_35761	41.667	408	188	8	1	368	1	1194	2.71e-80	265
sp|A2AU72|ARMC3_MOUSE	lcl|NW_026925998.1_cds_XP_062608564.1_16096	44.848	660	309	4	15	619	43	2022	1.36e-150	467
sp|A2CEI6|PIWL2_DANRE	lcl|NW_026940638.1_cds_XP_062594439.1_54270	44.924	857	434	14	220	1046	292	2838	0.0	784
sp|A2CG63|ARI4B_MOUSE	lcl|NW_026932625.1_cds_XP_062573810.1_35648	46.192	407	188	9	3	398	4	1164	5.35e-84	303
sp|A2RUB1|MEIOC_HUMAN	lcl|NW_026931011.1_cds_XP_062568873.1_31141	61.963	163	62	0	747	909	1783	2271	2.55e-55	207
sp|A3KGV1|ODFP2_MOUSE	lcl|NW_026935438.1_cds_XP_062580968.1_42076	42.219	784	431	8	58	828	169	2493	0.0	546
sp|A3KPW9|BAG6_DANRE	lcl|NW_026938868.1_cds_XP_062589986.1_50249	31.356	472	281	11	711	1159	2647	4002	1.30e-59	225
sp|A3KQH2|DRC9_DANRE	lcl|NW_026933486.1_cds_XP_062576586.1_38146	34.903	361	198	4	1	324	13	1095	4.36e-60	198
sp|A4D1T9|PRS37_HUMAN	lcl|NW_026933790.1_cds_XP_062577531.1_38997	26.991	226	140	8	28	233	160	822	1.35e-15	75.1
sp|A4IH17|BAG6_XENTR	lcl|NW_026938868.1_cds_XP_062589986.1_50249	29.348	460	289	9	694	1128	2656	4002	2.94e-47	186
sp|A4PES0|WEE2_PIG	lcl|NW_026921563.1_cds_XP_062598882.1_7358	47.778	360	175	8	172	522	583	1650	3.13e-104	327
