sp|A0A096MJN4|SEPT4_RAT	lcl|NC_091142.1_cds_XP_069136208.1_27334	61.064	357	130	2	100	456	25	1068	6.81e-160	457
sp|A0A0B4K7J2|RBP2_DROME	lcl|NC_091140.1_cds_XP_069130814.1_22411	33.784	370	157	7	1595	1930	3952	4899	2.04e-48	193
sp|A0A0G2JZ79|SIR1_RAT	lcl|NC_091138.1_cds_XP_069124834.1_17572	56.398	422	162	7	1	417	388	1602	9.15e-158	469
sp|A0A0G2K344|PK3CA_RAT	lcl|NC_091134.1_cds_XP_069116766.1_698	54.930	1065	454	10	5	1063	7	3141	0.0	1210
sp|A0A178VEK7|DUO1_ARATH	lcl|NC_091141.1_cds_XP_069133803.1_25191	49.020	102	50	2	13	114	292	591	1.15e-25	107
sp|A0A2I0BVG8|CDPK1_PLAFO	lcl|NC_091138.1_cds_XP_069124020.1_16729	34.521	365	218	6	43	399	1	1056	2.94e-62	212
sp|A0A5F8MPU3|CTSRT_MOUSE	lcl|NC_091135.1_cds_XP_069114581.1_8224	18.391	261	200	13	843	1103	1	744	1.04e-12	72.0
sp|A0AVF1|IFT56_HUMAN	lcl|NC_091138.1_cds_XP_069124607.1_17334	77.289	568	115	1	1	554	1	1704	0.0	916
sp|A0MLS5|BMAL1_HORSE	lcl|NC_091141.1_cds_XP_069132363.1_23855	51.846	596	238	12	74	626	172	1941	0.0	578
sp|A1Z6E0|GUS_DROME	lcl|NC_091134.1_cds_XP_069119628.1_1022	71.326	279	75	3	1	277	7	834	5.87e-151	424
sp|A1Z7Z9|CP131_DROME	lcl|NC_091138.1_cds_XP_069125159.1_17938	26.425	579	385	11	583	1131	1690	3393	3.79e-37	153
sp|A1Z8D0|PWP1_DROME	lcl|NC_091134.1_cds_XP_069132163.1_2444	40.184	326	187	4	130	453	418	1377	8.48e-90	284
sp|A1Z8P9|TPR_DROME	lcl|NC_091139.1_cds_XP_069127606.1_20048	28.527	1283	823	29	126	1369	394	4077	3.99e-89	326
