qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
sp|A0A096MJN4|SEPT4_RAT	lcl|NC_035784.1_cds_XP_022345491.1_27432	58.981	373	134	5	91	458	133	1209	2.37e-155	447
sp|A0A0B4K7J2|RBP2_DROME	lcl|NC_035782.1_cds_XP_022323532.1_19706	38.811	286	149	6	1537	1802	3757	4596	1.10e-46	188
sp|A0A0G2JZ79|SIR1_RAT	lcl|NC_035781.1_cds_XP_022316209.1_6191	52.361	487	204	8	1	465	325	1767	5.72e-168	496
sp|A0A0G2K344|PK3CA_RAT	lcl|NC_035784.1_cds_XP_022341425.1_30205	54.143	1062	466	11	5	1063	7	3138	0.0	1168
sp|A0A178VEK7|DUO1_ARATH	lcl|NC_035780.1_cds_XP_022298451.1_3754	48.039	102	51	2	13	114	280	579	2.02e-23	97.8
sp|A0A2I0BVG8|CDPK1_PLAFO	lcl|NC_035783.1_cds_XP_022328716.1_24128	41.197	284	148	4	48	329	46	846	3.84e-63	211
sp|A0AVF1|IFT56_HUMAN	lcl|NC_035781.1_cds_XP_022318479.1_7719	76.439	556	124	5	2	554	6091	7746	0.0	876
sp|A0MLS5|BMAL1_HORSE	lcl|NC_035783.1_cds_XP_022333901.1_23206	43.409	440	228	8	6	439	1	1275	1.06e-116	363
sp|A1Z6E0|GUS_DROME	lcl|NC_035784.1_cds_XP_022345682.1_32847	71.326	279	75	3	1	277	7	834	4.37e-150	422
sp|A1Z7Z9|CP131_DROME	lcl|NC_035781.1_cds_XP_022316753.1_10527	24.689	644	405	13	530	1107	1552	3441	6.21e-32	137
sp|A1Z8D0|PWP1_DROME	lcl|NC_035786.1_cds_XP_022293360.1_44373	36.538	468	263	9	11	454	1	1374	8.79e-87	276
sp|A1Z8P9|TPR_DROME	lcl|NC_035781.1_cds_XP_022314134.1_7841	25.882	1870	1144	47	6	1700	25	5433	9.20e-93	339
sp|A1Z9E2|LIN54_DROME	lcl|NC_035781.1_cds_XP_022317408.1_7977	52.273	220	85	4	738	939	1612	2265	2.69e-49	189
sp|A1Z9L3|DHX8_DROME	lcl|NC_035788.1_cds_XP_022309129.1_56717	78.135	965	202	2	281	1240	790	3672	0.0	1505
sp|A1Z9X0|APKC_DROME	lcl|NC_035784.1_cds_XP_022338969.1_30433	67.899	595	169	5	29	606	28	1797	0.0	823
sp|A2A6C4|SPP2C_MOUSE	lcl|NC_035788.1_cds_XP_022307398.1_57654	34.990	523	298	10	38	552	115	1581	3.43e-80	267
sp|A2A8L1|CHD5_MOUSE	lcl|NC_035784.1_cds_XP_022342390.1_32737	65.271	1218	344	11	336	1536	1033	4500	0.0	1524
sp|A2AAE1|BLTP1_MOUSE	lcl|NC_035782.1_cds_XP_022328428.1_19778	41.742	1102	575	16	24	1119	94	3216	0.0	896
sp|A2AG06|MEIOC_MOUSE	lcl|NC_035780.1_cds_XP_022323204.1_3071	62.577	163	61	0	757	919	1786	2274	4.12e-56	210
sp|A2AKX3|SETX_MOUSE	lcl|NC_035788.1_cds_XP_022306069.1_54673	30.964	830	463	28	1664	2439	58	2379	2.89e-89	312
sp|A2AL36|CNTRL_MOUSE	lcl|NC_035782.1_cds_XP_022325916.1_17735	36.211	892	485	18	78	928	235	2781	9.05e-124	439
sp|A2AM05|CNTLN_MOUSE	lcl|NC_035783.1_cds_XP_022333701.1_24211	31.477	826	457	25	119	892	79	2385	2.45e-59	226
sp|A2APF3|CTCFL_MOUSE	lcl|NC_035784.1_cds_XP_022339822.1_28114	54.804	281	125	2	257	537	955	1791	1.25e-100	327
sp|A2ARI4|LGR4_MOUSE	lcl|NC_035780.1_cds_XP_022294599.1_966	33.294	844	498	5	41	819	112	2643	1.08e-126	416
sp|A2ARP9|CTSR2_MOUSE	lcl|NC_035781.1_cds_XP_022316232.1_12031	26.449	276	186	6	94	361	5092	5892	7.89e-11	67.0
sp|A2AU37|RD21L_MOUSE	lcl|NC_035780.1_cds_XP_022338002.1_5710	42.051	390	186	8	1	355	1	1155	7.82e-75	251
sp|A2AU72|ARMC3_MOUSE	lcl|NC_035782.1_cds_XP_022325529.1_15533	45.271	645	303	3	15	609	43	1977	2.41e-153	474
sp|A2CEI6|PIWL2_DANRE	lcl|NC_035781.1_cds_XP_022317079.1_11140	45.828	803	422	8	252	1046	427	2820	0.0	789
sp|A2CG63|ARI4B_MOUSE	lcl|NC_035783.1_cds_XP_022330298.1_24056	46.929	407	185	9	3	398	4	1164	1.62e-84	305
sp|A2RUB1|MEIOC_HUMAN	lcl|NC_035780.1_cds_XP_022323204.1_3071	62.577	163	61	0	747	909	1786	2274	5.48e-55	206
sp|A3KGV1|ODFP2_MOUSE	lcl|NC_035782.1_cds_XP_022324499.1_19063	41.795	780	428	8	66	828	199	2511	1.71e-179	538
sp|A3KPW9|BAG6_DANRE	lcl|NC_035782.1_cds_XP_022320209.1_18673	30.233	473	285	11	711	1159	2584	3939	2.94e-56	215
sp|A3KQH2|DRC9_DANRE	lcl|NC_035785.1_cds_XP_022290122.1_38720	34.903	361	198	4	1	324	4	1086	1.12e-59	197
sp|A4D1T9|PRS37_HUMAN	lcl|NC_035782.1_cds_XP_022326654.1_17616	29.778	225	135	8	28	233	160	822	3.03e-17	79.7
sp|A4IH17|BAG6_XENTR	lcl|NC_035782.1_cds_XP_022320209.1_18673	31.398	465	273	12	694	1128	2593	3939	1.09e-49	194
sp|A4PES0|WEE2_PIG	lcl|NC_035786.1_cds_XP_022294997.1_43711	47.107	363	178	8	167	522	580	1647	8.87e-101	318
sp|A5D8V7|ODAD3_HUMAN	lcl|NC_035782.1_cds_XP_022320197.1_17507	39.315	496	291	5	61	549	10	1488	6.43e-61	213
sp|A5D8W1|CFA69_HUMAN	lcl|NC_035788.1_cds_XP_022309121.1_56565	47.386	899	455	8	26	910	79	2763	0.0	828
sp|A5D9M6|BAG6_PIG	lcl|NC_035782.1_cds_XP_022320209.1_18673	30.707	368	229	8	784	1127	2842	3939	6.04e-33	140
sp|A6N7Y9|PIWL1_CHICK	lcl|NC_035784.1_cds_XP_022338755.1_26884	52.687	763	352	6	112	867	334	2616	0.0	891
sp|A6NDE4|RBY1B_HUMAN	lcl|NC_035784.1_cds_XP_022339117.1_34124	51.765	85	40	1	3	86	13	267	4.31e-20	95.5
sp|A6PVC2|TTLL8_HUMAN	lcl|NC_035787.1_cds_XP_022296087.1_50600	51.429	350	162	5	263	607	1951	2991	3.64e-111	371
sp|A6QQL3|SEP14_BOVIN	lcl|NC_035782.1_cds_XP_022323604.1_18409	58.530	381	144	2	1	381	130	1230	1.33e-149	434
