qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
sp|A0A096MJN4|SEPT4_RAT	lcl|NC_086378.1_cds_XP_063439366.1_23529	54.802	354	141	8	105	457	208	1215	3.01e-118	356
sp|A0A0B4K7J2|RBP2_DROME	lcl|NC_086378.1_cds_XP_063441135.1_26167	37.260	365	159	13	1535	1844	3613	4662	1.52e-43	177
sp|A0A0G2JZ79|SIR1_RAT	lcl|NC_086379.1_cds_XP_063445298.1_29493	72.459	305	83	1	1	304	259	1173	8.35e-160	476
sp|A0A0G2K344|PK3CA_RAT	lcl|NC_086384.1_cds_XP_063410173.1_43924	53.013	1062	477	10	5	1063	7	3135	0.0	1182
sp|A0A178VEK7|DUO1_ARATH	lcl|NC_086381.1_cds_XP_063400744.1_34409	51.429	105	49	2	10	114	304	612	8.63e-26	108
sp|A0A2I0BVG8|CDPK1_PLAFO	lcl|NC_086376.1_cds_XP_063434507.1_19416	38.387	310	168	4	48	356	43	906	2.47e-65	216
sp|A0A5F8MPU3|CTSRT_MOUSE	lcl|NC_086378.1_cds_XP_063442176.1_24291	30.147	272	188	1	834	1103	2085	1270	1.24e-13	78.2
sp|A0AVF1|IFT56_HUMAN	lcl|NC_086379.1_cds_XP_063444897.1_28969	79.820	555	111	1	1	554	1	1665	0.0	930
sp|A0MLS5|BMAL1_HORSE	lcl|NC_086381.1_cds_XP_063400502.1_34110	54.268	492	191	9	36	509	25	1452	6.92e-180	522
sp|A1Z6E0|GUS_DROME	lcl|NC_086384.1_cds_XP_063409801.1_43236	68.571	280	82	4	1	277	7	837	4.08e-146	411
sp|A1Z7Z9|CP131_DROME	lcl|NC_086379.1_cds_XP_063446488.1_30849	26.632	582	363	9	580	1107	1681	3396	3.17e-37	153
sp|A1Z8D0|PWP1_DROME	lcl|NC_086382.1_cds_XP_063402795.1_37780	40.184	326	188	4	130	453	385	1347	2.01e-84	270
sp|A1Z8P9|TPR_DROME	lcl|NC_086373.1_cds_XP_063410496.1_4992	26.521	1825	1132	39	3	1695	1	5244	9.58e-98	355
sp|A1Z9E2|LIN54_DROME	lcl|NC_086379.1_cds_XP_063445064.1_29204	48.261	230	99	4	728	939	1645	2328	4.71e-45	176
sp|A1Z9L3|DHX8_DROME	lcl|NC_086374.1_cds_XP_063422250.1_7264	77.513	965	204	6	281	1240	787	3657	0.0	1472
sp|A1Z9X0|APKC_DROME	lcl|NC_086384.1_cds_XP_063409431.1_45070	67.586	580	183	2	29	606	85	1815	0.0	805
sp|A1ZAC4|KRIMP_DROME	lcl|NC_086373.1_cds_XP_063436641.1_1049	23.048	269	165	7	483	713	3538	4332	9.22e-12	70.5
sp|A2A6C4|SPP2C_MOUSE	lcl|NC_086377.1_cds_XP_063437326.1_21177	34.111	557	330	14	40	586	130	1719	4.10e-76	256
sp|A2A8L1|CHD5_MOUSE	lcl|NC_086384.1_cds_XP_063408573.1_44673	65.474	1202	350	11	336	1531	970	4398	0.0	1479
sp|A2AAE1|BLTP1_MOUSE	lcl|NC_086386.1_cds_XP_063414436.1_48512	40.777	1133	607	19	1	1119	28	3276	0.0	854
sp|A2AG06|MEIOC_MOUSE	lcl|NC_086374.1_cds_XP_063422601.1_7665	57.592	191	77	3	730	917	1615	2184	6.93e-61	223
sp|A2AKX3|SETX_MOUSE	lcl|NC_086382.1_cds_XP_063403336.1_38406	29.963	811	462	29	1679	2431	5419	7707	2.76e-73	275
sp|A2AL36|CNTRL_MOUSE	lcl|NC_086374.1_cds_XP_063423496.1_8751	35.198	858	530	8	79	925	244	2772	6.95e-123	436
sp|A2AM05|CNTLN_MOUSE	lcl|NC_086376.1_cds_XP_063434295.1_19156	27.924	1368	800	37	119	1391	85	3915	3.20e-79	288
sp|A2APF3|CTCFL_MOUSE	lcl|NC_086378.1_cds_XP_063440226.1_24857	51.032	339	159	3	239	572	1273	2283	4.69e-110	355
sp|A2ARI4|LGR4_MOUSE	lcl|NC_086381.1_cds_XP_063401072.1_34836	33.452	843	499	5	39	819	133	2661	2.07e-139	451
sp|A2AU37|RD21L_MOUSE	lcl|NC_086383.1_cds_XP_063406791.1_40888	34.562	651	315	20	1	549	1	1926	1.10e-87	285
