sp|A0A096MJN4|SEPT4_RAT	lcl|NC_092349.1_cds_XP_071179499.1_30913	58.889	360	140	2	97	456	100	1155	1.41e-155	448
sp|A0A0B4K7J2|RBP2_DROME	lcl|NC_092348.1_cds_XP_071172819.1_25176	38.279	337	172	11	1535	1848	3607	4578	1.54e-43	177
sp|A0A0G2JZ79|SIR1_RAT	lcl|NC_092352.1_cds_XP_071129385.1_42782	72.131	305	84	1	1	304	259	1173	2.55e-158	473
sp|A0A0G2K344|PK3CA_RAT	lcl|NC_092356.1_cds_XP_071145729.1_57397	53.013	1062	477	10	5	1063	7	3135	0.0	1181
sp|A0A178VEK7|DUO1_ARATH	lcl|NC_092350.1_cds_XP_071120126.1_34026	51.429	105	49	2	10	114	301	609	1.44e-25	108
sp|A0A2I0BVG8|CDPK1_PLAFO	lcl|NC_092347.1_cds_XP_071169840.1_23479	37.500	328	181	4	48	373	43	960	1.91e-64	214
sp|A0AVF1|IFT56_HUMAN	lcl|NC_092352.1_cds_XP_071132455.1_43316	79.820	555	111	1	1	554	1	1665	0.0	930
sp|A0MLS5|BMAL1_HORSE	lcl|NC_092350.1_cds_XP_071119908.1_33759	50.411	609	268	9	36	626	25	1803	0.0	576
sp|A1Z6E0|GUS_DROME	lcl|NC_092356.1_cds_XP_071146042.1_58263	68.571	280	82	4	1	277	7	837	5.51e-146	411
sp|A1Z7Z9|CP131_DROME	lcl|NC_092352.1_cds_XP_071128289.1_41125	26.632	582	363	9	580	1107	1633	3348	7.40e-37	152
sp|A1Z8D0|PWP1_DROME	lcl|NC_092353.1_cds_XP_071135653.1_49225	40.491	326	187	4	130	453	385	1347	3.21e-84	269
sp|A1Z8P9|TPR_DROME	lcl|NC_092344.1_cds_XP_071164594.1_5681	26.579	1821	1136	37	3	1695	1	5244	8.55e-96	348
sp|A1Z9E2|LIN54_DROME	lcl|NC_092352.1_cds_XP_071129731.1_43121	48.261	230	99	4	728	939	1645	2328	6.96e-45	176
sp|A1Z9L3|DHX8_DROME	lcl|NC_092345.1_cds_XP_071152934.1_11328	77.617	965	203	6	281	1240	787	3657	0.0	1471
sp|A1Z9X0|APKC_DROME	lcl|NC_092356.1_cds_XP_071147285.1_55874	67.577	586	173	5	29	606	31	1761	0.0	805
sp|A1ZAC4|KRIMP_DROME	lcl|NC_092344.1_cds_XP_071178897.1_1284	23.792	269	163	8	483	713	3538	4332	1.04e-11	70.5
sp|A2A6C4|SPP2C_MOUSE	lcl|NC_092354.1_cds_XP_071140614.1_51885	34.470	557	328	15	40	586	121	1710	9.48e-79	263
sp|A2A8L1|CHD5_MOUSE	lcl|NC_092356.1_cds_XP_071146572.1_56202	65.669	1203	345	11	336	1531	1060	4485	0.0	1482
sp|A2AAE1|BLTP1_MOUSE	lcl|NC_092351.1_cds_XP_071125136.1_37925	40.586	1126	595	19	13	1119	55	3267	0.0	842
sp|A2AG06|MEIOC_MOUSE	lcl|NC_092345.1_cds_XP_071156678.1_10405	58.115	191	76	3	730	917	1621	2190	5.76e-61	223
sp|A2AKX3|SETX_MOUSE	lcl|NC_092353.1_cds_XP_071135024.1_48337	30.135	813	458	30	1679	2431	5569	7857	9.35e-73	274
sp|A2AL36|CNTRL_MOUSE	lcl|NC_092345.1_cds_XP_071154964.1_8248	35.548	858	525	9	78	925	241	2760	1.27e-123	439
sp|A2AM05|CNTLN_MOUSE	lcl|NC_092347.1_cds_XP_071168718.1_22285	27.974	1362	806	36	119	1391	85	3912	3.52e-79	288
