sp|A0A096MJN4|SEPT4_RAT	lcl|NC_047022.1_cds_XP_033747626.1_18468	63.305	357	122	3	100	456	298	1341	3.55e-163	469
sp|A0A0B4K7J2|RBP2_DROME	lcl|NC_047020.1_cds_XP_033743786.1_15147	48.148	216	102	3	1595	1803	310	948	5.46e-47	187
sp|A0A0G2JZ79|SIR1_RAT	lcl|NC_047015.1_cds_XP_033738334.1_664	65.644	326	110	2	1	325	388	1362	3.26e-154	462
sp|A0A0G2K344|PK3CA_RAT	lcl|NC_047030.1_cds_XP_033763603.1_32996	54.665	1061	461	8	5	1063	7	3135	0.0	1211
sp|A0A178VEK7|DUO1_ARATH	lcl|NC_047024.1_cds_XP_033751683.1_22677	49.020	102	50	2	13	114	292	591	1.43e-25	107
sp|A0A2I0BVG8|CDPK1_PLAFO	lcl|NC_047015.1_cds_XP_033749889.1_1979	34.521	365	218	6	43	399	1	1056	2.20e-62	212
sp|A0AVF1|IFT56_HUMAN	lcl|NC_047015.1_cds_XP_033741744.1_1023	79.061	554	116	0	1	554	1	1662	0.0	924
sp|A0MLS5|BMAL1_HORSE	lcl|NC_047024.1_cds_XP_033751765.1_22816	51.783	589	245	10	74	626	187	1944	0.0	577
sp|A1Z6E0|GUS_DROME	lcl|NC_047030.1_cds_XP_033763531.1_33061	70.968	279	76	3	1	277	7	834	1.75e-150	422
sp|A1Z7Z9|CP131_DROME	lcl|NC_047015.1_cds_XP_033743324.1_1249	26.425	579	385	11	583	1131	1693	3396	1.32e-38	157
sp|A1Z8D0|PWP1_DROME	lcl|NC_047019.1_cds_XP_033741429.1_12987	40.061	327	187	4	130	453	418	1380	5.25e-83	266
sp|A1Z8P9|TPR_DROME	lcl|NC_047018.1_cds_XP_033737319.1_9085	27.860	1285	832	23	126	1369	394	4086	7.92e-88	322
sp|A1Z9E2|LIN54_DROME	lcl|NC_047015.1_cds_XP_033755537.1_2606	47.111	225	91	5	701	907	1555	2199	2.87e-46	179
sp|A1Z9L3|DHX8_DROME	lcl|NC_047029.1_cds_XP_033762870.1_30985	77.617	965	205	3	281	1240	859	3735	0.0	1509
sp|A1Z9X0|APKC_DROME	lcl|NC_047030.1_cds_XP_033764090.1_33010	69.019	581	170	2	29	606	28	1749	0.0	830
sp|A2A6C4|SPP2C_MOUSE	lcl|NC_047031.1_cds_XP_033725447.1_34304	27.378	347	216	8	40	380	106	1056	1.17e-29	124
sp|A2A8L1|CHD5_MOUSE	lcl|NC_047030.1_cds_XP_033764263.1_32819	65.347	1212	339	12	336	1531	1042	4482	0.0	1499
sp|A2AAE1|BLTP1_MOUSE	lcl|NC_047020.1_cds_XP_033744204.1_14273	42.005	1107	591	15	25	1119	76	3279	0.0	906
sp|A2AG06|MEIOC_MOUSE	lcl|NC_047016.1_cds_XP_033733360.1_5532	56.614	189	79	2	732	919	649	1209	2.03e-64	225
sp|A2AKX3|SETX_MOUSE	lcl|NC_047019.1_cds_XP_033741470.1_13033	32.500	600	348	18	1856	2431	2560	4260	2.63e-75	279
sp|A2AL36|CNTRL_MOUSE	lcl|NC_047016.1_cds_XP_033730331.1_3683	35.431	858	536	10	79	929	259	2799	2.06e-126	447
sp|A2AM05|CNTLN_MOUSE	lcl|NC_047023.1_cds_XP_033750064.1_21072	32.841	609	344	10	119	676	82	1866	6.81e-57	218
sp|A2APF3|CTCFL_MOUSE	lcl|NC_047033.1_cds_XP_033728010.1_37569	38.387	310	182	4	257	566	877	1779	3.91e-59	210
sp|A2ARI4|LGR4_MOUSE	lcl|NC_047024.1_cds_XP_033751818.1_22715	33.894	832	494	6	42	819	157	2646	3.07e-131	427
sp|A2AU37|RD21L_MOUSE	lcl|NC_047032.1_cds_XP_033727366.1_36303	58.696	184	67	2	1	175	1	552	1.05e-67	232
sp|A2AU72|ARMC3_MOUSE	lcl|NC_047020.1_cds_XP_033742744.1_14100	42.094	917	441	8	15	881	43	2673	0.0	595
sp|A2CEI6|PIWL2_DANRE	lcl|NC_047015.1_cds_XP_033734243.1_244	48.114	769	387	7	284	1046	604	2892	0.0	797
sp|A2CG63|ARI4B_MOUSE	lcl|NC_047017.1_cds_XP_033735581.1_7590	44.279	402	198	7	3	398	4	1149	1.17e-84	306
sp|A2RUB1|MEIOC_HUMAN	lcl|NC_047016.1_cds_XP_033733360.1_5532	57.527	186	76	2	725	909	658	1209	2.59e-62	219
sp|A3KGV1|ODFP2_MOUSE	lcl|NC_047016.1_cds_XP_033732389.1_4527	38.959	788	453	7	61	828	178	2517	3.69e-163	496
sp|A3KPW9|BAG6_DANRE	lcl|NC_047016.1_cds_XP_033731265.1_3806	28.632	468	309	8	711	1159	2692	4077	5.03e-54	207
sp|A3KQH2|DRC9_DANRE	lcl|NW_022980742.1_cds_XP_033730327.1_38640	36.901	355	187	4	7	324	28	1092	3.87e-63	206
sp|A4D1T9|PRS37_HUMAN	lcl|NC_047015.1_cds_XP_033757771.1_183	23.849	239	162	6	10	230	1000	1710	2.54e-15	75.5
sp|A4IH17|BAG6_XENTR	lcl|NC_047016.1_cds_XP_033731265.1_3806	29.892	465	284	13	694	1125	2701	4068	7.02e-46	181
sp|A4PES0|WEE2_PIG	lcl|NC_047019.1_cds_XP_033739704.1_11204	52.528	356	160	7	168	519	580	1632	3.06e-116	357
sp|A5D8V7|ODAD3_HUMAN	lcl|NC_047016.1_cds_XP_033763026.1_2854	39.130	483	288	3	71	549	43	1485	3.80e-58	204
sp|A5D8W1|CFA69_HUMAN	lcl|NC_047029.1_cds_XP_033761339.1_32185	46.950	918	471	7	21	930	64	2793	0.0	848
sp|A5D9M6|BAG6_PIG	lcl|NC_047016.1_cds_XP_033731265.1_3806	28.710	411	235	9	762	1127	2884	4077	1.74e-30	131
sp|A6N7Y9|PIWL1_CHICK	lcl|NC_047022.1_cds_XP_033747282.1_18060	52.665	788	359	9	88	867	286	2631	0.0	856
