qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
sp|A0A096MJN4|SEPT4_RAT	lcl|NW_018404881.1_cds_XP_021348083.1_6750	63.305	357	122	3	100	456	388	1431	4.72e-162	467
sp|A0A0B4K7J2|RBP2_DROME	lcl|NW_018407445.1_cds_XP_021361373.1_18686	37.838	370	189	8	1595	1926	3910	5010	2.75e-48	192
sp|A0A0G2JZ79|SIR1_RAT	lcl|NW_018408484.1_cds_XP_021368442.1_25119	58.081	396	142	5	1	373	112	1296	5.79e-155	462
sp|A0A0G2K344|PK3CA_RAT	lcl|NW_018408440.1_cds_XP_021367892.1_24623	54.854	1061	459	8	5	1063	7	3135	0.0	1208
sp|A0A178VEK7|DUO1_ARATH	lcl|NW_018408465.1_cds_XP_021368125.1_24785	49.020	102	50	2	13	114	292	591	1.69e-25	107
sp|A0A2I0BVG8|CDPK1_PLAFO	lcl|NW_018405300.1_cds_XP_021350043.1_8510	34.247	365	219	6	43	399	1	1056	7.30e-61	208
sp|A0A5F8MPU3|CTSRT_MOUSE	lcl|NW_018406060.1_cds_XP_021354069.1_12150	21.552	348	248	6	779	1101	1144	2187	6.55e-12	72.4
sp|A0AVF1|IFT56_HUMAN	lcl|NW_018404876.1_cds_XP_021348039.1_6706	79.204	553	115	0	1	553	1	1659	0.0	923
sp|A0MLS5|BMAL1_HORSE	lcl|NW_018404123.1_cds_XP_021377316.1_3283	51.656	604	238	12	74	626	187	1989	0.0	577
sp|A1Z6E0|GUS_DROME	lcl|NW_018408833.1_cds_XP_021375479.1_31443	71.326	279	75	3	1	277	7	834	5.68e-151	424
sp|A1Z7Z9|CP131_DROME	lcl|NW_018403776.1_cds_XP_021358763.1_1624	26.702	573	391	9	583	1131	1678	3381	1.29e-37	154
sp|A1Z8D0|PWP1_DROME	lcl|NW_018407700.1_cds_XP_021362950.1_20097	38.720	328	191	4	130	453	433	1398	1.20e-84	270
sp|A1Z8P9|TPR_DROME	lcl|NW_018407568.1_cds_XP_021362246.1_19526	27.756	1297	824	27	126	1373	394	4092	2.21e-90	330
sp|A1Z9E2|LIN54_DROME	lcl|NW_018408906.1_cds_XP_021379566.1_35065	44.361	266	120	5	701	948	1759	2526	3.55e-46	179
sp|A1Z9L3|DHX8_DROME	lcl|NW_018407146.1_cds_XP_021359000.1_16615	77.720	965	204	3	281	1240	826	3702	0.0	1508
sp|A1Z9X0|APKC_DROME	lcl|NW_018408440.1_cds_XP_021367906.1_24636	69.430	579	172	3	29	606	28	1752	0.0	827
sp|A2A6C4|SPP2C_MOUSE	lcl|NW_018480061.1_cds_XP_021342804.1_39401	36.095	507	286	10	37	537	97	1521	7.20e-74	249
sp|A2A8L1|CHD5_MOUSE	lcl|NW_018407984.1_cds_XP_021364896.1_21907	65.922	1209	345	15	336	1531	1048	4512	0.0	1500
sp|A2AAE1|BLTP1_MOUSE	lcl|NW_018404940.1_cds_XP_021348394.1_7034	41.915	1107	592	16	25	1119	73	3276	0.0	900
sp|A2AG06|MEIOC_MOUSE	lcl|NW_018408748.1_cds_XP_021372804.1_29032	56.383	188	78	2	733	919	2176	2730	1.16e-59	222
sp|A2AKX3|SETX_MOUSE	lcl|NW_018403788.1_cds_XP_021360735.1_1820	32.383	596	341	18	1856	2425	322	2001	3.65e-76	270
sp|A2AL36|CNTRL_MOUSE	lcl|NW_018408916.1_cds_XP_021380355.1_35833	34.342	859	543	10	79	929	259	2796	1.10e-123	439
sp|A2AM05|CNTLN_MOUSE	lcl|NW_018403629.1_cds_XP_021354554.1_1245	33.737	578	337	10	119	655	82	1800	7.05e-59	217
